#	Neutral in a.u.		Re(E1) in a.u.		Gamma(E1) in a.u.	
   -7.809912147000E+01	   -7.798449469347E+01	   -2.328332708865E-02	
   -7.809105056000E+01	   -7.798916238400E+01	   -1.819459498482E-02	
   -7.808883917000E+01	   -7.798917927659E+01	   -1.724900366942E-02	
   -7.809049508000E+01	   -7.799004248570E+01	   -1.737170998123E-02	
   -7.809086778000E+01	   -7.799018254114E+01	   -1.729971277444E-02	
   -7.809043484000E+01	   -7.799034167062E+01	   -1.716065806703E-02	
   -7.808903848000E+01	   -7.799058910395E+01	   -1.688535732207E-02	
   -7.807972593000E+01	   -7.798968794388E+01	   -1.569204757042E-02	
   -7.808564953000E+01	   -7.799068983317E+01	   -1.619787732448E-02	
   -7.808374769000E+01	   -7.799087341537E+01	   -1.561467882499E-02	
   -7.808257862000E+01	   -7.799110198913E+01	   -1.521039709642E-02	
   -7.807992650000E+01	   -7.799102436917E+01	   -1.415801933190E-02	
   -7.807856806000E+01	   -7.799099953400E+01	   -1.380699463897E-02	
   -7.807784228000E+01	   -7.799102123717E+01	   -1.348342255962E-02	
   -7.807763038000E+01	   -7.799101287733E+01	   -1.343895199071E-02	
   -7.807769790000E+01	   -7.799101581307E+01	   -1.345251181071E-02	
   -7.807749952000E+01	   -7.799100258943E+01	   -1.342251786669E-02	
   -7.807732327000E+01	   -7.799099268108E+01	   -1.339442829337E-02	
   -7.807734047000E+01	   -7.799099294787E+01	   -1.339684968916E-02	
